Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,15852.233398,17705.773438,15809.522461,17255.771484,17255.771484,81636333539
2022-11-11,17252.318359,17331.992188,16080.843750,16424.142578,16424.142578,53870351057
2022-11-12,16426.630859,16455.363281,16053.459961,16213.078125,16213.078125,28680878604
2022-11-13,16213.596680,16330.417969,15796.938477,15835.814453,15835.814453,26348067437
2022-11-14,15834.519531,16582.339844,15410.023438,16103.035156,16103.035156,48091705519
2022-11-15,16102.342773,16423.699219,16029.814453,16301.791016,16301.791016,35336096844
2022-11-16,16301.527344,16369.059570,15789.336914,16038.634766,16038.634766,32641703726
2022-11-17,16039.583984,16101.672852,15869.745117,16106.125000,16106.125000,26897961057
2022-11-18,16106.504883,16340.963867,16029.243164,16141.691406,16141.691406,25967626142
2022-11-19,16140.185547,16236.895508,16017.025391,16153.449219,16153.449219,15568340052
2022-11-20,16154.775391,16187.504883,15737.996094,15770.038086,15770.038086,20630753760
2022-11-21,15769.448242,15769.448242,15234.934570,15408.910156,15408.910156,36532413039
2022-11-22,15404.046875,15811.793945,15273.316406,15701.486328,15701.486328,29800107605
2022-11-23,15707.129883,16013.544922,15683.867188,15944.168945,15944.168945,31636334826
2022-11-24,15945.062500,16096.625000,15832.670898,15953.935547,15953.935547,25105353987
2022-11-25,15951.826172,15952.632813,15741.800781,15865.791992,15865.791992,17936579787
2022-11-26,15865.538086,16003.521484,15762.862305,15809.002930,15809.002930,17283608415
